temperature,vibration,rpm,failure
44.9,3.78,1113,0
77.8,8.37,1294,1
53.9,8.89,1602,0
89.6,6.28,1694,1
92.5,5.89,1177,0
77.2,5.73,3174,1
56.4,9.39,3551,1
40.3,3.64,2147,0
47.5,7.49,3547,0
56.3,6.61,3253,0
74.0,5.79,2357,0
87.6,4.59,3409,1
74.6,2.66,3567,0
56.9,1.91,2512,0
45.6,4.06,3442,0
81.0,6.72,3002,1
50.5,5.59,2477,0
92.2,5.78,1000,0
58.7,5.0,3108,1
58.2,5.6,1394,0
51.7,9.04,1684,0
85.0,5.01,2897,1
67.6,7.66,1705,1
73.0,7.08,1664,1
73.4,5.66,2421,1
81.0,7.39,2672,1
51.2,3.66,3289,0
78.7,3.73,1064,0
76.8,9.42,2706,1
76.8,9.1,950,1
61.5,7.62,1785,1
85.9,5.18,1480,0
92.7,4.92,2412,1
67.9,7.07,1471,1
51.6,6.48,2251,0
45.9,5.5,999,0
49.8,4.8,2924,0
42.1,2.35,2655,0
88.7,7.94,1640,1
63.8,4.58,1664,0
42.2,8.14,1401,0
82.5,3.51,2663,1
72.3,7.78,1961,1
61.3,2.51,1045,0
48.0,3.77,1245,0
85.4,3.0,1762,0
57.4,2.25,1843,0
45.3,2.93,2695,0
87.4,0.7,954,0
83.9,7.52,1983,1
82.4,9.45,1599,1
45.8,7.45,2315,0
50.5,4.49,1894,0
75.6,5.4,1388,0
52.8,0.73,2885,0
53.8,0.97,918,0
75.9,2.59,2552,0
70.9,5.98,1828,1
63.3,3.0,2965,0
69.8,9.12,1787,1
48.5,3.75,908,0
86.1,6.99,3213,1
62.2,3.19,2471,0
41.8,2.55,2043,0
87.6,5.37,2191,0
81.6,6.89,3164,1
63.3,5.53,2370,0
78.3,8.4,3104,1
45.1,5.9,2344,0
65.0,8.3,2085,0
85.0,8.01,922,1
56.6,5.6,2247,0
49.0,8.2,1184,0
83.9,3.33,2820,0
87.8,5.7,1444,0
55.8,9.27,3074,1
55.7,4.92,2070,0
54.7,3.97,2217,0
77.6,3.17,1174,0
75.0,2.13,1671,0
64.0,8.85,3459,1
85.1,9.47,1592,1
44.1,8.82,1732,0
81.4,0.82,2472,0
52.5,2.34,1273,0
82.4,0.71,988,0
63.4,2.27,3381,0
58.4,5.28,1722,0
83.3,3.65,2060,0
76.8,6.57,1541,0
71.6,0.74,1992,0
53.7,2.19,3338,0
74.7,7.32,1055,0
49.5,8.34,2441,1
77.8,8.45,2209,1
62.6,4.26,2374,0
69.7,5.56,3446,1
90.6,6.01,3294,1
46.9,1.95,902,0
75.8,8.65,3579,1
63.8,0.61,2432,0
62.4,3.76,1086,0
58.2,5.5,3042,0
72.9,9.36,2165,1
53.2,8.11,3191,1
87.3,4.24,3343,1
78.3,4.49,2453,0
70.3,0.56,2365,0
83.1,6.53,937,0
46.5,2.98,3498,0
64.2,2.76,3080,0
59.3,7.0,3599,1
75.6,3.44,2187,0
67.3,0.8,2147,0
66.5,8.02,2451,1
54.3,6.37,2834,0
43.0,3.01,2819,0
77.0,7.11,1318,0
57.3,8.19,2137,0
86.1,4.68,2347,1
